Topology,ExitCode,TotalTime,nbPaths,Nodes,Edges,maxPaths,percentagePaths
Dfn,0,26.553,1058483,58,174,10370922,10.206257457147975%
DialtelecomCz,0,164.425,3814235,138,302,349704282,1.0907029728620823%
Digex,0,0.271,31036,31,76,783060,3.9634255357188466%
Easynet,0,0.085,9228,19,58,99180,9.304295220810648%
Eenet,0,0.028,156,13,32,19032,0.819672131147541%
EliBackbone,0,0.261,30782,20,60,123500,24.9246963562753%
Epoch,0,0.033,330,6,14,510,64.70588235294117%
Ernet,0,0.104,9448,30,64,682950,1.383410205725163%
Esnet,0,1.349,216440,68,184,19850492,1.0903508084333629%
Eunetworks,0,0.045,2126,14,38,26390,8.056081849185299%
Evolink,0,0.281,38724,37,90,1633032,2.3712946225181137%
Fatman,0,0.051,4172,17,42,61472,6.7868297761582514%
Fccn,0,0.048,2466,23,54,223652,1.1026058340636347%
Forthnet,0,0.148,5220,62,124,13618982,0.038328856004068435%
Funet,0,0.148,16135,26,62,375050,4.302093054259433%
Gambia,0,0.062,2192,28,56,511812,0.4282822598923042%
Garr199901,0,0.034,1000,16,36,47280,2.1150592216582065%
Garr199904,0,0.044,2082,23,50,223652,0.9309105217033606%
Garr199905,0,0.043,2082,23,50,223652,0.9309105217033606%
Garr200109,0,0.038,1878,22,48,185262,1.0136995174401657%
Garr200112,0,0.053,2248,24,52,267720,0.8396832511579262%
Garr200212,0,0.057,2830,27,58,439452,0.6439838708209316%
Garr200404,0,0.041,1902,22,48,185262,1.0266541438611265%
Garr200902,0,0.487,74414,54,142,7741710,0.9612088285404645%
Garr200908,0,0.486,73142,54,136,7741710,0.9447783500027772%
Garr200909,0,0.49,75732,55,138,8345700,0.9074373629533773%
Garr200912,0,0.446,74042,54,136,7741710,0.9564036885907635%
Garr201001,0,0.533,88906,54,136,7741710,1.1484026138927963%
Garr201003,0,0.473,75580,54,142,7741710,0.9762701005333447%
Garr201004,0,0.472,75580,54,142,7741710,0.9762701005333447%
Garr201005,0,0.479,77328,55,144,8345700,0.9265609835004853%
Garr201007,0,0.465,77328,55,148,8345700,0.9265609835004853%
Garr201008,0,0.475,77328,55,148,8345700,0.9265609835004853%
Garr201010,0,0.486,80000,56,150,8984360,0.8904362692501191%
Garr201012,0,0.558,98946,56,150,8984360,1.1013138387152785%
Garr201101,0,0.559,98946,56,152,8984360,1.1013138387152785%
Garr201102,0,0.59,102992,57,154,9658992,1.0662810363648711%
Garr201103,0,0.619,105582,58,162,10370922,1.0180579894439472%
Garr201104,0,0.688,122022,59,166,11121500,1.0971721440453175%
Garr201105,0,0.645,113528,59,168,11121500,1.0207975542867418%
Garr201107,0,0.661,113528,59,170,11121500,1.0207975542867418%
Garr201108,0,0.674,113528,59,170,11121500,1.0207975542867418%
Garr201109,0,0.715,121724,59,172,11121500,1.0944926493728364%
Garr201110,0,0.636,108576,59,174,11121500,0.9762711864406779%
Garr201111,0,0.606,94260,60,174,11912100,0.7912962449945854%
Garr201112,0,0.616,97568,61,178,12744120,0.7655922888359494%
Garr201201,0,0.64,102760,61,178,12744120,0.8063326459575082%
Gblnet,0,0.016,56,8,14,2072,2.7027027027027026%
Geant2001,0,0.341,44997,27,76,439452,10.23934354605281%
Geant2009,0,1.732,174948,34,104,1150050,15.212208164862398%
Geant2010,0,0.503,78266,37,116,1633032,4.792680118944393%
Geant2012,0,0.572,95600,40,122,2254200,4.240972407062372%
Getnet,0,0.024,202,7,16,1092,18.4981684981685%
Globalcenter,0,0.063,3600,9,72,3600,100.0%
Globenet,0,35.993,1371215,67,226,18687372,7.337655610430402%
Goodnet,0,0.219,25609,17,62,61472,41.65961738677772%
Grena,0,0.03,240,16,30,47280,0.5076142131979695%
Gridnet,0,0.044,3024,9,40,3600,84.0%
Grnet,0,0.097,6878,37,94,1633032,0.42117974418137544%
GtsCe,1,3600.143,-,149,386,476543720,-
GtsCzechRepublic,0,0.121,7444,32,66,893792,0.8328559664888475%
GtsHungary,0,0.099,4320,30,62,682950,0.6325499670546892%
GtsPoland,0,0.282,40859,33,74,1015872,4.022061834561835%
GtsRomania,0,0.052,4442,21,48,152040,2.9215995790581424%
GtsSlovakia,0,0.134,14938,35,74,1297100,1.1516459794927145%
Harnet,0,0.08,7689,21,50,152040,5.05722178374112%
Heanet,0,0.026,753,7,26,1092,68.95604395604396%
HiberniaCanada,0,0.029,784,13,28,19032,4.119377889869693%
HiberniaGlobal,0,24.49,944811,55,162,8345700,11.320931737301844%
HiberniaIreland,0,0.022,104,8,16,2072,5.019305019305019%
HiberniaNireland,0,0.114,9415,18,44,78642,11.971974263116401%
HiberniaUk,0,0.045,416,15,30,35700,1.165266106442577%
HiberniaUs,0,0.235,28698,22,58,185262,15.490494542863619%
Highwinds,0,0.379,34414,18,106,78642,43.76033162940922%
HostwayInternational,0,0.062,6092,16,42,47280,12.884940778341795%
HurricaneElectric,0,0.33,45127,24,74,267720,16.8560436276707%
Ibm,0,0.156,18392,18,48,78642,23.38699422700338%
Iij,0,3.1,280407,37,132,1633032,17.170943374042885%
Iinet,0,0.154,16166,31,70,783060,2.064465047378234%
Ilan,0,0.038,1232,14,30,26390,4.6684350132626%
Integra,0,0.547,65506,27,72,439452,14.906292382330722%
Intellifiber,0,17.322,1010193,73,194,26500752,3.8119408837907693%
Internetmci,0,0.137,17407,19,90,99180,17.55091752369429%
Internode,0,0.327,39454,66,156,17576130,0.22447489862671705%
Interoute,0,1842.645,11627045,110,316,139863350,8.313146367507999%
Intranetwork,0,0.652,83191,39,106,2030340,4.097392554941537%
Ion,0,553.552,6797828,125,300,234515000,2.898675138050871%
IowaStatewideFiberMap,0,0.531,71449,33,82,1015872,7.03326797076797%
Iris,0,2.971,326745,51,128,6125100,5.334525150609786%
Istar,0,0.038,854,23,46,223652,0.381843220717901%
Itnet,0,0.023,110,11,20,9020,1.2195121951219512%
Janetbackbone,0,2.023,176358,29,90,592760,29.7520075578649%
JanetExternal,0,0.022,90,10,18,5850,1.5384615384615385%
Janetlense,0,0.32,37915,20,80,123500,30.700404858299596%
Jgn2Plus,0,0.032,306,18,34,78642,0.38910505836575876%
Karen,0,0.088,7717,25,60,318000,2.4267295597484275%
KentmanApr2007,0,0.049,3112,22,48,185262,1.6797832259178893%
KentmanAug2005,0,0.057,3444,27,58,439452,0.7837033396138827%
KentmanFeb2008,0,0.06,4360,26,56,375050,1.1625116651113185%
KentmanJan2011,0,0.073,2216,38,78,1823582,0.12151907619180273%
KentmanJul2005,0,0.033,1028,16,34,47280,2.1742808798646363%
Kreonet,0,0.023,156,13,24,19032,0.819672131147541%
LambdaNet,0,0.268,31944,42,92,2756922,1.1586834883250234%
Latnet,0,0.333,21580,69,148,21067080,0.10243469906603099%
Layer42,0,0.019,126,6,14,510,24.705882352941178%
Litnet,0,0.097,3256,43,86,3037692,0.10718664038355437%
Marnet,0,0.032,380,20,54,123500,0.3076923076923077%
Marwan,0,0.048,2884,16,36,47280,6.0998307952622675%
Missouri,0,17.029,1028796,67,166,18687372,5.50530058480133%
Mren,0,0.017,30,6,10,510,5.88235294117647%
Myren,0,0.102,9026,37,80,1633032,0.5527142150306914%
Napnet,0,0.018,126,6,14,510,24.705882352941178%
Navigata,0,0.046,2832,13,34,19032,14.880201765447667%
Netrail,0,0.035,462,7,20,1092,42.30769230769231%
NetworkUsa,0,0.176,18030,35,78,1297100,1.390023899468044%
Nextgen,0,0.045,1876,17,40,61472,3.051795939614784%
Niif,0,0.078,2848,36,82,1457820,0.19536019536019536%
Noel,0,0.126,11634,19,50,99180,11.730187537810043%
Nordu1989,0,0.018,42,7,12,1092,3.8461538461538463%
Nordu1997,0,0.028,182,14,26,26390,0.6896551724137931%
Nordu2005,0,0.022,112,9,20,3600,3.111111111111111%
Nordu2010,0,0.03,304,15,30,35700,0.8515406162464986%
Nsfcnet,0,0.025,260,9,20,3600,7.222222222222221%
Nsfnet,0,0.039,1928,13,30,19032,10.130306851618327%
Ntelos,0,3.323,312811,47,122,4380212,7.141457993357399%
Ntt,0,7.454,270153,32,432,893792,30.22548870430704%
Oteglobe,0,26.544,1424529,83,204,44660972,3.189650686509913%
Oxford,0,0.081,8099,20,52,123500,6.557894736842106%
Pacificwave,0,0.056,874,18,54,78642,1.1113654281427228%
Packetexchange,0,0.116,10680,21,54,152040,7.02446724546172%
Padi,0,0.026,42,7,12,1092,3.8461538461538463%
Palmetto,0,7.192,479481,45,140,3663000,13.08984438984439%
Peer1,0,0.069,6894,16,40,47280,14.581218274111677%
Pern,0,2.155,191254,127,258,250047252,0.07648714331801575%
PionierL1,0,0.388,54241,36,82,1457820,3.72069254091726%
PionierL3,0,0.547,70847,38,104,1823582,3.8850460248017367%
Psinet,0,0.081,4214,24,50,267720,1.5740325713431944%
Quest,0,0.3,35145,20,62,123500,28.457489878542507%
RedBestel,0,17.892,948093,84,202,46886700,2.0220936854161202%
Rediris,0,0.136,9774,19,64,99180,9.854809437386571%
Renam,0,0.019,20,5,8,200,10.0%
Renater1999,0,0.035,552,24,46,267720,0.2061855670103093%
Renater2001,0,0.057,2470,24,54,267720,0.9226057074555505%
Renater2004,0,0.194,24244,30,72,682950,3.5498938428874736%
Renater2006,0,0.46,66814,33,86,1015872,6.577009702009702%
Renater2008,0,0.497,66814,33,86,1015872,6.577009702009702%
Renater2010,0,2.489,259894,43,112,3037692,8.555640268993695%
Restena,0,0.037,1238,19,42,99180,1.2482355313571285%
Reuna,0,0.075,1332,37,72,1633032,0.08156606851549755%
Rhnet,0,0.041,1498,16,36,47280,3.168358714043993%
Rnp,0,0.107,9054,31,68,783060,1.1562332388322734%
Roedunet,0,0.105,1722,42,100,2756922,0.06246096189881324%
RoedunetFibre,0,0.54,79409,48,104,4775952,1.662684214581721%
Sago,0,0.04,306,18,34,78642,0.38910505836575876%
Sanet,0,0.22,21880,43,90,3037692,0.720283689063934%
Sanren,0,0.018,84,7,14,1092,7.6923076923076925%
Savvis,0,0.063,2296,19,40,99180,2.3149828594474693%
Shentel,0,0.255,35141,28,70,511812,6.865997671019827%
Sinet,0,0.698,73091,74,152,28009370,0.2609519600048127%
Singaren,0,0.022,110,11,20,9020,1.2195121951219512%
Spiralight,0,0.058,1930,15,32,35700,5.406162464985995%
Sprint,0,0.074,4151,11,36,9020,46.019955654102%
Sunet,0,0.229,26015,26,98,375050,6.936408478869484%
Surfnet,0,6.322,512607,50,146,5647250,9.077108327061845%
Switch,0,20.703,1240383,74,184,28009370,4.428457334099267%
SwitchL3,0,1.342,180322,42,126,2756922,6.540700099603834%
Syringa,0,0.496,10326,74,148,28009370,0.03686623440655752%
TataNld,1,3600.801,-,145,388,426996000,-
Telcove,0,0.187,4970,71,140,23667140,0.020999580008399833%
Telecomserbia,0,0.022,126,6,12,510,24.705882352941178%
Tinet,0,51.34,1428505,53,178,7171112,19.920271779327948%
TLex,0,0.033,324,12,32,13332,2.43024302430243%
Tw,0,822.004,4747264,71,236,23667140,20.058460802614935%
Twaren,0,0.04,1156,20,40,123500,0.9360323886639677%
Ulaknet,0,0.222,6642,82,164,42515442,0.01562255897516013%
UniC,0,0.07,4357,25,58,318000,1.3701257861635219%
Uninet,0,0.052,4024,13,50,19032,21.14333753678016%
Uninett2010,0,5.93,718770,74,202,28009370,2.566176961495385%
Uninett2011,0,5.392,646520,69,196,21067080,3.0688638387474674%
Uran,0,0.041,722,24,48,267720,0.26968474525623787%
UsCarrier,0,949.624,9953918,158,378,603703622,1.6488087262130091%
UsSignal,0,28.188,1148549,61,158,12744120,9.012383750309946%
Uunet,0,32.235,1095815,49,168,5197920,21.081798103856926%
Vinaren,0,0.047,1358,25,52,318000,0.42704402515723267%
VisionNet,0,0.053,552,24,46,267720,0.2061855670103093%
VtlWavenet2008,0,19.963,795591,88,184,56631432,1.4048576416008693%
VtlWavenet2011,0,22.867,871899,92,192,67821572,1.2855776920063133%
WideJpn,0,0.064,1106,30,66,682950,0.16194450545427924%
Xeex,0,0.433,52697,24,68,267720,19.68362468250411%
Xspedius,0,2.072,200777,34,98,1150050,17.45811051693405%
York,0,0.061,2340,23,48,223652,1.0462683096954197%
Zamren,0,0.075,1190,35,68,1297100,0.09174311926605505%
